Afrikaansa (af)
Albanese (sq)
Arabo (ar)
Azerbaijano (az)
Basco (eu)
Bielorusso (be)
Bengali	(bn)
Bosnian	(bs)
Bulgaro (bg)
Catalano (ca)
Cebuano	(ceb)
Cinese Semplificato (zh)
Cinese Traditionale (zh-TW)
Croato (hr)
Ceco (cs)
Danese (da)
Olandese (nl)
Inglese	(en)
Esperanto (eo)
Estone (et)
Filippino (tl)
Finlandese (fi)
Francese (fr)
Galician (gl)
Georgian (ka)
Tedesco (de)
Greco (el)
Gujarati (gu)
Creolo Haitiano (ht)
Ebreo (iw)
Hindi (hi)
Hmong (hmn)
Ungherese (hu)
Islandese (is)
Indonesiano (id)
Scozzese (ga)
Italiano (it)
Giapponese (ja)
Giavanese (jw)
Kannada	(kn)
Khmer (km)
Koreano	(ko)
Lao (lo)
Latino (la)
Lettone	(lv)
Lituano	(lt)
Macedone (mk)
Malese (ms)
Maltese	(mt)
Marathi	(mr)
Norvegese (no)
Persiano (fa)
Polacco	(pl)
Portoghese (pt)
Romanico (ro)
Russo (ru)
Serbo (sr)
Slovacco (sk)
Sloveno	(sl)
Spagnolo (es)
Swahili	(sw)
Svedese	(sv)
Tamil (ta)
Telugu (te)
Thai (th)
Turco (tr)
Ukraino (uk)
Urdu (ur)
Vietnamita (vi)
Gallese (cy)
Yiddish (yi)
